GeneSymbol	cd8_eff	cd8_mem	th1_rest	th1_act	th2_rest	th2_act	cd4_mem_rest	cd4_mem_act	treg	nk_rest	nk_act	dc_rest	dc_act	pmn	baso	mast_pro	mast_naive	eos	tfh	mac_1	mac_2	mac_3	mac_4	mac_5	mac_6	mac_7
CITED2	53.39000389879979	74.49994416300763	139.39246160174923	240.20194961360562	48.9673145716315	52.08849087179519	120.3134490217415	40.31358418165527	10.889118222371208	36.45306348653208	15.376128794241565	83.62032692805751	28.28763409832521	50.74580531400862	44.48709490341478	40.73396905700986	36.01980183119878	63.22023791778719	543.20492061665	241.69652398238011	185.9058519940481	98.6836706779572	178.43216766498372	152.9127784915419	213.92561540387624	81.76951374779871
HCK	54.98421719515749	9.123284370886415	12.27294036822208	12.69138427757588	11.22368063783663	12.477511081283374	11.86000347541406	11.353850100673506	9.382597908196404	86.57133300696212	33.627831180290485	522.3242819263459	530.5314698470551	1266.5353366506458	59.322138831523525	26.060256588440335	66.80483733988025	498.24512769687	12.333068617782198	336.78556098038183	436.4887876687872	348.5355597475368	426.6452644606614	618.2295946092011	357.205741988955	579.253543254453
SIK1	49.95860867526928	320.2713108271817	13.70317882163174	31.327162569243427	14.085382321946987	42.222746563591436	50.24656597401056	16.619278896962253	97.83636190792237	34.51873783735572	20.99139232052618	12.582277494642288	16.42195544648508	26.808555815139684	40.29933062054693	30.877730129732345	11.963538477543125	211.83708550895184	156.95350791121265	29.36536544774504	68.62807138143297	14.244063438663929	27.38348898785407	46.30071688150894	31.54769438416299	59.4068327147272
SEMA6C	23.60913312273893	16.656852623194524	24.240116919733197	27.44136458400726	21.634822043003325	23.432263612565464	24.86243044436026	21.820396637838098	255.15568770301576	22.590821732493467	26.86909908904885	27.985159523069093	36.972606925496386	41.278604831566454	26.99905734960028	20.775746345041892	9.831128999272078	18.520013080194623	20.21561683471779	9.807521273178185	9.509506494788607	8.813644486865298	11.79130245236266	11.057016375362501	10.540940640610224	9.538116743550402
PSG6	12.399385368381527	14.114431105721337	11.486511958070187	12.227883353732572	11.902246919907597	12.12595376222671	18.901920345591876	16.545105033037114	29.079185008062844	16.435166475351142	17.22745279310773	16.656684712405713	17.264090167836937	25.926799507478467	2374.257132006135	1363.1116849610546	16.063608101446732	16.527444841336507	11.062497547796804	11.454985405432245	9.873035908141645	11.794710709847337	11.415460982071416	10.869369916011014	10.895853643099349	11.992232337728048
PABPC3	1939.3482599904064	625.2199758054222	1301.6872199219981	1321.485666110865	1338.2406172799972	1428.0298570199677	1357.4146443139737	1138.0669687347838	1544.7864160018003	884.1629175887952	798.3432299167697	1169.5894602672522	864.55034582007	435.6207675566611	4.673277133910543	4.727824373193726	809.7116940228423	756.0310597996586	2115.090722322491	13.979292840334708	12.308032700412099	12.040229168798847	10.218515503125836	11.608585919776191	13.551930522975171	11.315699102954248
TBXAS1	13.432547080842967	26.735360968978085	14.898124422887108	12.104238462618504	14.014476760422362	12.548717870990496	24.30822025646727	17.066368151678287	14.443034947089531	35.05915023349819	37.230995913442136	110.07860638177863	23.92046734259542	147.25901356068903	40.08997618383276	23.14446277334679	104.87285643872809	95.60203296280122	19.39779042893903	337.8912105906396	156.14679241119777	563.0278740751254	472.604915475988	323.82911808650397	456.77618451828374	218.82750053791452
CPVL	67.93295250445142	44.08885719079424	9.131921289005474	8.576961570286088	8.567538181604654	8.237102743963701	8.83728809873921	8.070065695502263	11.073783126058279	35.194421694113736	9.241791903090514	184.2658072817268	30.622820068745142	14.93392851352041	11.458988113828417	14.317096298427243	38.79900304489462	6.6506794376100276	6.543178966995499	1189.1003494164243	124.58854004805416	986.2739615528918	1079.5189202251067	311.8790536960701	804.498080297369	191.87753310997908
KIR2DL1	14.96828017361586	21.037143239331808	16.44459758123859	19.814337899820284	16.060221227391462	16.701883612366093	38.890634781798965	32.78998866304028	30.16998770684986	220.11366818607357	266.74235853293163	27.3391163302609	35.00012201416497	51.06689976818761	286.02396255314557	237.65206932338094	12.619096292202126	13.651297203251994	14.636833858210153	10.73348679142637	11.316217899649915	13.100729681972979	10.744780062079133	11.345624574253655	10.27718580239015	11.879878779718767
MYO7A	11.222742594925027	14.47216789618713	11.74291060482252	11.846400413273654	12.991390102501965	12.04018484501919	16.66729265709306	15.307942392801715	16.480468796648214	12.590267820654661	14.536300073761788	14.69868274731223	15.279583758689414	17.304307067092672	58.788307706084176	41.43145409608659	9.975016887759052	10.629145577356818	58.55397621896752	36.59317524069378	15.109312899729117	70.83250234678373	67.42872669355197	22.044053238113822	71.37795800274256	21.83766968575637
IL9	6.052284376042833	17.17047918716569	5.422879800003628	5.722613980365573	6.281935961932984	25.321941590335683	6.737138449362362	420.6628192818243	7.20663998034916	7.3609474285405865	5.968025627831219	6.210980632199877	6.269650794799151	6.832654745153804	15.313586884074546	13.118705863568024	4.833754688349477	11.049778287395545	5.483222553001825	11.426834953265981	9.969607458488724	11.543920007249573	10.403314450128219	10.517150670739634	10.099917542863274	12.155316552661965
RASGRP2	45.17005060898909	39.56101289847853	67.2743696472561	26.34729234900725	40.69874712188555	18.502500251798647	110.02796472176148	13.713627044932963	73.40520031101249	53.40887818623511	19.70613531778034	13.594237046452145	15.925473587068772	123.64759126292488	28.15210459584873	39.15935339272741	17.903300538435836	70.85737573134419	19.474572979980348	15.118834684554727	13.102389152283905	12.686932599872437	16.122138013828764	15.170201715399426	22.69207633762669	13.963357134636906
GABRR2	19.395323820331694	15.084999041881774	17.387810150076533	18.93880140044962	16.768418013436015	17.500846220599723	26.54581572749862	21.986958655716958	61.80203691229278	25.099003088210694	21.762798626192524	31.026354447131347	28.628300076328497	39.01072707146416	1588.2402266198706	813.1622307376397	19.984763110391068	38.95840032681207	14.251647595634454	9.562641809376961	7.626816915068958	11.17084807013997	9.628305979412993	9.85867193602038	9.799225055177034	9.382784411159328
MEFV	10.842648818070957	121.61180351668385	8.324363049338176	8.429766067007591	7.705837347052721	8.04132747549786	17.592129071542196	13.774881114239646	72.39781020219473	20.56994539087005	12.503250786227623	10.981316081902301	12.572533736247715	147.14972859976655	26.124396069115523	21.779617250425705	16.42279152500909	35.76958770493335	12.91101426134838	16.978058060898434	21.533779033156247	11.722283335461555	18.34965569050097	19.54041525045448	27.712753693033722	20.867347876725326
